trial,model_type,lr,dropout,weight_decay,l1_lambda,batch_size,hidden_size,num_layers,store_embedding_size,gradient_clip,scheduler_step_size,scheduler_gamma,best_epoch,epochs_run,val_rmspe,val_rmspe_std,val_rmse,val_mae,val_r2,target,duration_seconds,status
1,RNN,0.001,0.15,0.0001,0.0,64,32,1,8,0.1,10,0.7,5,10,0.18774016835479815,0.0,1183.1254128477904,782.791494311556,0.8928155846820388,-0.18774016835479815,112.16216699997312,ok
2,RNN,0.00017745172999880445,0.33275000724347065,4.570563099801446e-05,0.0,32,32,3,8,1.0,10,0.7,25,25,0.13267312766367614,0.0,989.3857391093629,624.1708414734227,0.9250448685801891,-0.13267312766367614,813.9727503999893,ok
3,RNN,5.0112934136198784e-05,0.1607371121880535,4.6616864139127617e-07,0.0,256,128,2,4,0.5,10,0.7,23,25,0.16219389452579475,0.0,1164.777887725186,730.7498491337158,0.8961141704049973,-0.16219389452579475,483.17374339999515,ok
4,RNN,0.0008790175469217571,0.3284934481555125,1.0090061869151558e-08,0.0,256,32,1,32,0.5,10,0.7,24,25,0.18061670257316428,0.0,1234.572218692402,781.7306313677308,0.8832913414346936,-0.18061670257316428,218.91853519997676,ok
5,RNN,0.0003544156274773104,0.1511807565247405,2.858549394196188e-07,0.0,128,128,2,32,5.0,10,0.7,3,8,0.17139237245213762,0.0,1319.5434524607101,823.7002541590496,0.8666731956904747,-0.17139237245213762,180.73966600000858,ok
6,RNN,0.0028022768411997156,0.08146996915060647,2.8381292701126713e-08,0.0,64,128,3,32,5.0,10,0.7,15,20,0.13129739643329916,0.0,879.5900887585906,557.925680656976,0.9407578608764787,-0.13129739643329916,1438.2304070000246,ok
7,RNN,0.00027134747615629697,0.30097914235771217,2.520795953048918e-05,0.0,32,128,2,32,0.1,10,0.7,1,6,0.16847777291685553,0.0,1297.0345977854888,827.7447343984658,0.871182994510795,-0.16847777291685553,413.6121301999956,ok
8,RNN,0.0002400518114174229,0.03490584032035884,1.6838041258883237e-08,0.0,64,32,1,8,0.5,10,0.7,7,12,0.20023169129298946,0.0,1335.785670291412,862.1823884188422,0.8633707645797726,-0.20023169129298946,211.5560952000087,ok
9,RNN,7.973351372018356e-05,0.13844065998766364,4.556765719089805e-08,0.0,256,64,2,32,0.1,10,0.7,16,21,0.1527833252805023,0.0,1100.1839330627001,683.7178578440439,0.9073168737996212,-0.1527833252805023,291.54915060001076,ok
10,RNN,4.8053958000438996e-05,0.07434543520481873,2.2608058633313316e-06,0.0,64,64,1,8,0.5,10,0.7,16,21,0.20320565160480034,0.0,1573.0076261290274,1017.279801956079,0.810533804806348,-0.20320565160480034,599.5641852999979,ok
